timestamp,tracker,status,std_x,std_y
2025-06-26 11:11:59,zeinaaab,Concentre,5.44,3.10
2025-06-26 11:11:59,zeinaaab,Concentre,5.65,3.81
2025-06-26 11:11:59,zeinaaab,Concentre,5.85,4.39
2025-06-26 11:11:59,zeinaaab,Concentre,6.05,5.04
2025-06-26 11:11:59,zeinaaab,Concentre,6.32,5.58
2025-06-26 11:11:59,zeinaaab,Concentre,6.65,6.04
2025-06-26 11:11:59,zeinaaab,Concentre,6.89,6.32
2025-06-26 11:11:59,zeinaaab,Concentre,7.18,6.57
2025-06-26 11:11:59,zeinaaab,Concentre,7.64,6.70
2025-06-26 11:11:59,zeinaaab,Concentre,8.12,6.71
2025-06-26 11:12:00,zeinaaab,Concentre,8.47,6.69
2025-06-26 11:12:00,zeinaaab,Concentre,8.61,6.69
2025-06-26 11:12:00,zeinaaab,Concentre,8.86,6.67
2025-06-26 11:12:00,zeinaaab,Concentre,9.00,6.67
2025-06-26 11:12:00,zeinaaab,Concentre,9.00,6.63
2025-06-26 11:12:00,zeinaaab,Concentre,8.87,6.53
2025-06-26 11:12:00,zeinaaab,Concentre,8.60,6.59
2025-06-26 11:12:00,zeinaaab,Concentre,8.43,6.67
2025-06-26 11:12:00,zeinaaab,Concentre,8.06,6.96
2025-06-26 11:12:00,zeinaaab,Concentre,7.74,7.36
2025-06-26 11:12:00,zeinaaab,Concentre,7.58,7.85
2025-06-26 11:12:00,zeinaaab,Concentre,7.38,8.63
2025-06-26 11:12:00,zeinaaab,Concentre,7.22,9.42
2025-06-26 11:12:00,zeinaaab,Concentre,6.96,10.02
2025-06-26 11:12:00,zeinaaab,Concentre,6.75,10.53
2025-06-26 11:12:00,zeinaaab,Concentre,6.40,11.02
2025-06-26 11:12:00,zeinaaab,Concentre,6.13,11.45
2025-06-26 11:12:00,zeinaaab,Concentre,5.71,11.77
2025-06-26 11:12:00,zeinaaab,Concentre,5.43,11.89
2025-06-26 11:12:00,zeinaaab,Concentre,5.13,12.05
2025-06-26 11:12:00,zeinaaab,Concentre,4.81,12.04
2025-06-26 11:12:00,zeinaaab,Concentre,4.60,11.88
2025-06-26 11:12:00,zeinaaab,Concentre,4.51,11.65
2025-06-26 11:12:00,zeinaaab,Concentre,4.51,11.22
2025-06-26 11:12:00,zeinaaab,Concentre,4.72,10.69
2025-06-26 11:12:00,zeinaaab,Concentre,4.86,10.02
2025-06-26 11:12:00,zeinaaab,Concentre,5.11,9.36
2025-06-26 11:12:00,zeinaaab,Concentre,5.25,8.54
2025-06-26 11:12:00,zeinaaab,Concentre,5.44,7.72
2025-06-26 11:12:01,zeinaaab,Concentre,5.54,7.08
2025-06-26 11:12:01,zeinaaab,Concentre,5.59,6.63
2025-06-26 11:12:01,zeinaaab,Concentre,5.60,6.23
2025-06-26 11:12:01,zeinaaab,Concentre,5.47,5.60
2025-06-26 11:12:01,zeinaaab,Concentre,5.15,5.00
2025-06-26 11:12:01,zeinaaab,Concentre,4.88,4.27
2025-06-26 11:12:01,zeinaaab,Concentre,4.45,3.29
2025-06-26 11:12:01,zeinaaab,Concentre,4.38,2.55
2025-06-26 11:12:01,zeinaaab,Concentre,4.22,1.82
2025-06-26 11:12:01,zeinaaab,Concentre,4.15,1.45
2025-06-26 11:12:01,zeinaaab,Concentre,4.14,1.24
2025-06-26 11:12:01,zeinaaab,Concentre,3.99,1.16
2025-06-26 11:12:01,zeinaaab,Concentre,3.88,1.12
2025-06-26 11:12:01,zeinaaab,Concentre,3.76,0.88
2025-06-26 11:12:01,zeinaaab,Concentre,3.53,0.81
2025-06-26 11:12:01,zeinaaab,Concentre,3.32,0.73
2025-06-26 11:12:01,zeinaaab,Concentre,3.13,0.63
2025-06-26 11:12:01,zeinaaab,Concentre,2.80,0.50
2025-06-26 11:12:01,zeinaaab,Concentre,2.65,0.50
2025-06-26 11:12:01,zeinaaab,Concentre,2.54,0.36
2025-06-26 11:12:01,zeinaaab,Concentre,2.46,0.36
2025-06-26 11:12:01,zeinaaab,Concentre,2.29,0.00
2025-06-26 11:12:01,zeinaaab,Concentre,2.15,0.00
2025-06-26 11:12:01,zeinaaab,Concentre,1.91,0.00
2025-06-26 11:12:01,zeinaaab,Concentre,1.84,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.81,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.71,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.67,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.53,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.47,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.43,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.36,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.30,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.21,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.12,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
2025-06-26 11:12:02,zeinaaab,Concentre,1.00,0.00
