name,emotion,timestamp
Inconnu,angry,2025-06-26 16:43:36
Inconnu,fear,2025-06-26 16:43:37
Inconnu,neutral,2025-06-26 16:43:37
Inconnu,neutral,2025-06-26 16:43:38
Inconnu,neutral,2025-06-26 16:43:38
Inconnu,neutral,2025-06-26 16:43:39
Inconnu,neutral,2025-06-26 16:43:39
Inconnu,neutral,2025-06-26 16:43:40
Inconnu,sad,2025-06-26 16:43:40
Inconnu,neutral,2025-06-26 16:43:41
Inconnu,fear,2025-06-26 16:43:41
Inconnu,happy,2025-06-26 16:43:42
Inconnu,surprise,2025-06-26 16:43:42
Inconnu,happy,2025-06-26 16:43:43
Inconnu,sad,2025-06-26 16:43:43
Inconnu,happy,2025-06-26 16:43:44
Inconnu,neutral,2025-06-26 16:43:44
Inconnu,happy,2025-06-26 16:43:45
Inconnu,happy,2025-06-26 16:43:45
Inconnu,happy,2025-06-26 16:43:46
Inconnu,sad,2025-06-26 16:43:46
Inconnu,happy,2025-06-26 16:43:47
Inconnu,happy,2025-06-26 16:43:47
Inconnu,happy,2025-06-26 16:43:48
Inconnu,happy,2025-06-26 16:43:48
Inconnu,happy,2025-06-26 16:43:49
Inconnu,happy,2025-06-26 16:43:49
Inconnu,sad,2025-06-26 16:43:50
Inconnu,neutral,2025-06-26 16:43:50
Inconnu,fear,2025-06-26 16:43:51
Inconnu,neutral,2025-06-26 16:43:51
Inconnu,fear,2025-06-26 16:43:52
Inconnu,neutral,2025-06-26 16:43:52
Inconnu,neutral,2025-06-26 16:43:53
Inconnu,neutral,2025-06-26 16:43:53
Inconnu,happy,2025-06-26 16:43:54
Inconnu,neutral,2025-06-26 16:43:54
Inconnu,neutral,2025-06-26 16:43:55
Inconnu,neutral,2025-06-26 16:43:55
Inconnu,neutral,2025-06-26 16:43:56
Inconnu,sad,2025-06-26 16:43:56
Inconnu,happy,2025-06-26 16:43:57
Inconnu,sad,2025-06-26 16:43:57
Inconnu,happy,2025-06-26 16:43:58
Inconnu,angry,2025-06-26 16:43:58
Inconnu,happy,2025-06-26 16:43:59
